PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,IsAlone,FareCat
359,1,3,1,21,0,0,7.8792,3,2,1,1,1
360,1,3,1,21,0,0,7.8792,3,2,1,1,1
361,0,3,0,40,1,4,27.9,1,1,6,0,3
362,0,2,0,29,1,0,27.7208,2,1,2,0,3
363,0,3,1,45,0,1,14.4542,2,3,2,0,3
364,0,3,0,35,0,0,7.05,1,1,1,1,1
365,0,3,0,25,1,0,15.5,3,1,2,0,3
366,0,3,0,30,0,0,7.25,1,1,1,1,1
367,1,1,1,60,1,0,75.25,2,3,2,0,4
368,1,3,1,21,0,0,7.2292,2,3,1,1,1
369,1,3,1,21,0,0,7.75,3,2,1,1,1
370,1,1,1,24,0,0,69.3,2,3,1,1,4
371,1,1,0,25,1,0,55.4417,2,1,2,0,4
372,0,3,0,18,1,0,6.4958,1,1,2,0,1
373,0,3,0,19,0,0,8.05,1,1,1,1,2
374,0,1,0,22,0,0,135.6333,2,1,1,1,4
375,0,3,1,3,3,1,21.075,1,2,5,0,3
376,1,1,1,35,1,0,82.1708,2,3,2,0,4
377,1,3,1,22,0,0,7.25,1,2,1,1,1
378,0,1,0,27,0,2,211.5,2,1,3,0,4
379,0,3,0,20,0,0,4.0125,2,1,1,1,1
380,0,3,0,19,0,0,7.775,1,1,1,1,1
381,1,1,1,42,0,0,227.525,2,2,1,1,4
382,1,3,1,1,0,2,15.7417,2,2,3,0,3
383,0,3,0,32,0,0,7.925,1,1,1,1,2
384,1,1,1,35,1,0,52.0,1,3,2,0,4
385,0,3,0,25,0,0,7.8958,1,1,1,1,1
386,0,2,0,18,0,0,73.5,1,1,1,1,4
387,0,3,0,1,5,2,46.9,1,4,8,0,4
388,1,2,1,36,0,0,13.0,1,2,1,1,2
389,0,3,0,25,0,0,7.7292,3,1,1,1,1
390,1,2,1,17,0,0,12.0,2,2,1,1,2
391,1,1,0,36,1,2,120.0,1,1,4,0,4
392,1,3,0,21,0,0,7.7958,1,1,1,1,1
393,0,3,0,28,2,0,7.925,1,1,3,0,2
394,1,1,1,23,1,0,113.275,2,2,2,0,4
395,1,3,1,24,0,2,16.7,1,3,3,0,3
396,0,3,0,22,0,0,7.7958,1,1,1,1,1
397,0,3,1,31,0,0,7.8542,1,2,1,1,1
398,0,2,0,46,0,0,26.0,1,1,1,1,3
399,0,2,0,23,0,0,10.5,1,5,1,1,2
400,1,2,1,28,0,0,12.65,1,3,1,1,2
401,1,3,0,39,0,0,7.925,1,1,1,1,2
402,0,3,0,26,0,0,8.05,1,1,1,1,2
403,0,3,1,21,1,0,9.825,1,2,2,0,2
404,0,3,0,28,1,0,15.85,1,1,2,0,3
405,0,3,1,20,0,0,8.6625,1,2,1,1,2
406,0,2,0,34,1,0,21.0,1,1,2,0,3
407,0,3,0,51,0,0,7.75,1,1,1,1,1
408,1,2,0,3,1,1,18.75,1,4,3,0,3
409,0,3,0,21,0,0,7.775,1,1,1,1,1
410,0,3,1,21,3,1,25.4667,1,2,5,0,3
411,0,3,0,25,0,0,7.8958,1,1,1,1,1
412,0,3,0,25,0,0,6.8583,3,1,1,1,1
413,1,1,1,33,1,0,90.0,3,2,2,0,4
414,0,2,0,30,0,0,0.0,1,1,1,1,1
415,1,3,0,44,0,0,7.925,1,1,1,1,2
416,0,3,1,21,0,0,8.05,1,3,1,1,2
417,1,2,1,34,1,1,32.5,1,3,3,0,4
418,1,2,1,18,0,2,13.0,1,2,3,0,2
419,0,2,0,30,0,0,13.0,1,1,1,1,2
420,0,3,1,10,0,2,24.15,1,2,3,0,3
421,0,3,0,25,0,0,7.8958,2,1,1,1,1
422,0,3,0,21,0,0,7.7333,3,1,1,1,1
423,0,3,0,29,0,0,7.875,1,1,1,1,1
424,0,3,1,28,1,1,14.4,1,3,3,0,2
425,0,3,0,18,1,1,20.2125,1,1,3,0,3
426,0,3,0,25,0,0,7.25,1,1,1,1,1
427,1,2,1,28,1,0,26.0,1,3,2,0,3
428,1,2,1,19,0,0,26.0,1,2,1,1,3
429,0,3,0,25,0,0,7.75,3,1,1,1,1
430,1,3,0,32,0,0,8.05,1,1,1,1,2
431,1,1,0,28,0,0,26.55,1,1,1,1,3
432,1,3,1,21,1,0,16.1,1,3,2,0,3
433,1,2,1,42,1,0,26.0,1,3,2,0,3
434,0,3,0,17,0,0,7.125,1,1,1,1,1
435,0,1,0,50,1,0,55.9,1,1,2,0,4
436,1,1,1,14,1,2,120.0,1,2,4,0,4
437,0,3,1,21,2,2,34.375,1,2,5,0,4
438,1,2,1,24,2,3,18.75,1,3,6,0,3
439,0,1,0,64,1,4,263.0,1,1,6,0,4
440,0,2,0,31,0,0,10.5,1,1,1,1,2
441,1,2,1,45,1,1,26.25,1,3,3,0,3
442,0,3,0,20,0,0,9.5,1,1,1,1,2
443,0,3,0,25,1,0,7.775,1,1,2,0,1
444,1,2,1,28,0,0,13.0,1,2,1,1,2
445,1,3,0,25,0,0,8.1125,1,1,1,1,2
446,1,1,0,4,0,2,81.8583,1,4,3,0,4
447,1,2,1,13,0,1,19.5,1,2,2,0,3
448,1,1,0,34,0,0,26.55,1,1,1,1,3
449,1,3,1,5,2,1,19.2583,2,2,4,0,3
450,1,1,0,52,0,0,30.5,1,5,1,1,3
451,0,2,0,36,1,2,27.75,1,1,4,0,3
452,0,3,0,25,1,0,19.9667,1,1,2,0,3
453,0,1,0,30,0,0,27.75,2,1,1,1,3
454,1,1,0,49,1,0,89.1042,2,1,2,0,4
455,0,3,0,25,0,0,8.05,1,1,1,1,2
456,1,3,0,29,0,0,7.8958,2,1,1,1,1
457,0,1,0,65,0,0,26.55,1,1,1,1,3
458,1,1,1,35,1,0,51.8625,1,3,2,0,4
459,1,2,1,50,0,0,10.5,1,2,1,1,2
460,0,3,0,25,0,0,7.75,3,1,1,1,1
461,1,1,0,48,0,0,26.55,1,1,1,1,3
462,0,3,0,34,0,0,8.05,1,1,1,1,2
463,0,1,0,47,0,0,38.5,1,1,1,1,4
464,0,2,0,48,0,0,13.0,1,1,1,1,2
465,0,3,0,25,0,0,8.05,1,1,1,1,2
466,0,3,0,38,0,0,7.05,1,1,1,1,1
467,0,2,0,30,0,0,0.0,1,1,1,1,1
468,0,1,0,56,0,0,26.55,1,1,1,1,3
469,0,3,0,25,0,0,7.725,3,1,1,1,1
470,1,3,1,0,2,1,19.2583,2,2,4,0,3
471,0,3,0,25,0,0,7.25,1,1,1,1,1
472,0,3,0,38,0,0,8.6625,1,1,1,1,2
473,1,2,1,33,1,2,27.75,1,3,4,0,3
474,1,2,1,23,0,0,13.7917,2,3,1,1,2
475,0,3,1,22,0,0,9.8375,1,2,1,1,2
476,0,1,0,40,0,0,52.0,1,1,1,1,4
477,0,2,0,34,1,0,21.0,1,1,2,0,3
478,0,3,0,29,1,0,7.0458,1,1,2,0,1
479,0,3,0,22,0,0,7.5208,1,1,1,1,1
480,1,3,1,2,0,1,12.2875,1,2,2,0,2
481,0,3,0,9,5,2,46.9,1,4,8,0,4
482,0,2,0,30,0,0,0.0,1,1,1,1,1
483,0,3,0,50,0,0,8.05,1,1,1,1,2
484,1,3,1,63,0,0,9.5875,1,3,1,1,2
485,1,1,0,25,1,0,91.0792,2,1,2,0,4
486,0,3,1,21,3,1,25.4667,1,2,5,0,3
487,1,1,1,35,1,0,90.0,1,3,2,0,4
488,0,1,0,58,0,0,29.7,2,1,1,1,3
489,0,3,0,30,0,0,8.05,1,1,1,1,2
490,1,3,0,9,1,1,15.9,1,4,3,0,3
